Simulation Time Point,Cells,Contacts,Hours,Log(Cells)
1470,212504,1094809,16.301346,5.327367109
1480,214148,1103387,16.553725,5.330714023
1490,215782,1112050,16.848975,5.334015214
1500,217438,1120586,17.22075,5.337335445
1510,219113,1129596,17.59315,5.340668145
1520,220769,1138362,18.052128,5.343938091
1530,222418,1146983,18.39337,5.347169931
1540,224080,1155559,18.758185,5.350403096
1550,225718,1164283,19.09231,5.353566194
1560,227444,1173329,19.434597,5.356874485
1570,229142,1182187,19.823175,5.360104699
1580,230799,1191134,20.219448,5.363233923
1590,232482,1199725,20.648301,5.366389333
1600,234165,1208387,21.118233,5.369521983
1610,235827,1217213,21.443825,5.372593526
1620,237568,1225897,21.829218,5.375787942
1630,239247,1234992,22.274868,5.378846501
1640,240980,1244045,22.793449,5.381981
1650,242710,1252759,23.189836,5.38508767
1660,244401,1262074,23.686491,5.388102979
1670,246018,1270848,24.075549,5.390966884
1680,247701,1279501,24.574408,5.39392776
1690,249371,1288376,24.981667,5.396845947
1700,251077,1297352,25.447854,5.399806931
1710,252760,1306167,25.862895,5.402708347
1720,254390,1315056,26.371615,5.405500035
1730,256120,1323946,26.755611,5.408443493
1740,257813,1332672,27.131801,5.411304813
1750,259545,1341654,27.607583,5.414212667
1760,261243,1350602,28.05765,5.417044662
1770,262977,1359642,28.629887,5.419917767
1780,264655,1368850,29.061049,5.422680103
1790,266306,1377699,29.694307,5.425380951
1800,267905,1386454,30.075047,5.427980819
1810,269506,1395029,30.799028,5.430568438
1820,271122,1403813,31.311698,5.43316476
1830,272768,1412421,31.830929,5.435793419
1840,274403,1420531,32.533712,5.438388855
1850,275996,1429068,32.954696,5.440902788
1860,277604,1437657,33.385024,5.44342572
1870,279192,1446046,33.968081,5.44590297
1880,280851,1454653,34.503589,5.448475975
1890,282495,1463234,35.140686,5.451010766
1900,284140,1472168,35.671704,5.453532376
1910,285803,1480853,36.224605,5.456066783
1920,287413,1489373,36.857365,5.458506408
1930,288987,1497987,37.516919,5.460878307
1940,290607,1506284,38.291097,5.463306071
1950,292245,1514648,38.839103,5.46574709
1960,293897,1523225,39.401542,5.468195153
