iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,440,41029,cells,194847,contacts,0.347898,hour(s),or,20.873869,minute(s),or,1252.432129,second(s)
,440,41195,cells,188553,cts,14,iterations,residual,=,0.849767,,,
,440,41195,cells,193950,cts,9,iterations,residual,=,0.81198,,,
,440,41195,cells,194804,cts,7,iterations,residual,=,0.843629,,,
,440,41195,cells,195178,cts,6,iterations,residual,=,0.860867,,,
,440,41195,cells,195392,cts,6,iterations,residual,=,0.796454,,,
,440,41195,cells,195545,cts,6,iterations,residual,=,0.792157,,,
,440,41195,cells,195659,cts,5,iterations,residual,=,0.997465,,,
,450,42710,cells,203845,contacts,0.380392,hour(s),or,22.823535,minute(s),or,1369.412109,second(s)
,450,42876,cells,197295,cts,14,iterations,residual,=,0.940815,,,
,450,42876,cells,202918,cts,9,iterations,residual,=,0.829841,,,
,450,42876,cells,203743,cts,7,iterations,residual,=,0.822767,,,
,450,42876,cells,204129,cts,6,iterations,residual,=,0.978541,,,
,450,42876,cells,204366,cts,6,iterations,residual,=,0.849763,,,
,450,42876,cells,204543,cts,6,iterations,residual,=,0.83523,,,
,450,42876,cells,204665,cts,6,iterations,residual,=,0.776984,,,
,,,,,,,,,,,,,
,460,44411,cells,212842,contacts,0.412121,hour(s),or,24.727238,minute(s),or,1483.634277,second(s)
,460,44597,cells,206039,cts,14,iterations,residual,=,0.949705,,,
,460,44597,cells,211848,cts,9,iterations,residual,=,0.846178,,,
,460,44597,cells,212662,cts,7,iterations,residual,=,0.902212,,,
,460,44597,cells,213038,cts,6,iterations,residual,=,0.901361,,,
,460,44597,cells,213286,cts,6,iterations,residual,=,0.83448,,,
,460,44597,cells,213425,cts,6,iterations,residual,=,0.859268,,,
,460,44597,cells,213544,cts,6,iterations,residual,=,0.824988,,,
,470,46164,cells,221711,contacts,0.445941,hour(s),or,26.756462,minute(s),or,1605.387695,second(s)
,470,46322,cells,214718,cts,15,iterations,residual,=,0.882485,,,
,470,46322,cells,220667,cts,9,iterations,residual,=,0.880479,,,
,470,46322,cells,221542,cts,7,iterations,residual,=,0.872594,,,
,470,46322,cells,221914,cts,6,iterations,residual,=,1.002474,,,
,470,46322,cells,222205,cts,6,iterations,residual,=,0.982594,,,
,470,46322,cells,222391,cts,6,iterations,residual,=,0.930739,,,
,470,46322,cells,222525,cts,6,iterations,residual,=,0.956942,,,
,480,47849,cells,230689,contacts,0.477582,hour(s),or,28.654903,minute(s),or,1719.294189,second(s)
,480,48005,cells,223532,cts,15,iterations,residual,=,0.948837,,,
,480,48005,cells,229573,cts,9,iterations,residual,=,0.912878,,,
,480,48005,cells,230564,cts,7,iterations,residual,=,0.940868,,,
,480,48005,cells,230966,cts,6,iterations,residual,=,0.937597,,,
,480,48005,cells,231213,cts,6,iterations,residual,=,0.972354,,,
,480,48005,cells,231422,cts,6,iterations,residual,=,0.908882,,,
,480,48005,cells,231549,cts,5,iterations,residual,=,1.123899,,,
,,,,,,,,,,,,,
,490,49545,cells,239693,contacts,0.514939,hour(s),or,30.896326,minute(s),or,1853.779541,second(s)
,490,49704,cells,232314,cts,14,iterations,residual,=,1.213178,,,
,490,49704,cells,238565,cts,9,iterations,residual,=,0.967334,,,
,490,49704,cells,239494,cts,7,iterations,residual,=,0.968107,,,
,490,49704,cells,239916,cts,6,iterations,residual,=,1.055123,,,
,490,49704,cells,240173,cts,6,iterations,residual,=,0.961819,,,
,490,49704,cells,240336,cts,6,iterations,residual,=,0.939627,,,
,490,49704,cells,240448,cts,6,iterations,residual,=,0.879025,,,
,500,51208,cells,248540,contacts,0.550752,hour(s),or,33.045099,minute(s),or,1982.705933,second(s)
,500,51366,cells,241139,cts,15,iterations,residual,=,0.911334,,,
,500,51366,cells,247494,cts,9,iterations,residual,=,1.04117,,,
,500,51366,cells,248463,cts,7,iterations,residual,=,1.046941,,,
,500,51366,cells,248902,cts,6,iterations,residual,=,1.209121,,,
,500,51366,cells,249185,cts,6,iterations,residual,=,1.077514,,,
,500,51366,cells,249373,cts,6,iterations,residual,=,1.049073,,,
,500,51366,cells,249509,cts,6,iterations,residual,=,1.036682,,,
,,,,,,,,,,,,,
,510,52892,cells,257498,contacts,0.59253,hour(s),or,35.551811,minute(s),or,2133.108643,second(s)
,510,53055,cells,249740,cts,14,iterations,residual,=,1.275863,,,
,510,53055,cells,256180,cts,9,iterations,residual,=,1.120386,,,
,510,53055,cells,257159,cts,7,iterations,residual,=,1.177368,,,
,510,53055,cells,257595,cts,6,iterations,residual,=,1.236601,,,
,510,53055,cells,257878,cts,6,iterations,residual,=,1.165684,,,
,510,53055,cells,258065,cts,6,iterations,residual,=,1.146857,,,
,510,53055,cells,258187,cts,6,iterations,residual,=,1.075525,,,
,520,54525,cells,266351,contacts,0.632707,hour(s),or,37.962439,minute(s),or,2277.746338,second(s)
,520,54712,cells,258458,cts,15,iterations,residual,=,1.0332,,,
,520,54712,cells,265015,cts,9,iterations,residual,=,1.174997,,,
,520,54712,cells,266037,cts,7,iterations,residual,=,1.16815,,,
,520,54712,cells,266474,cts,6,iterations,residual,=,1.317037,,,
,520,54712,cells,266741,cts,6,iterations,residual,=,1.221746,,,
,520,54712,cells,266962,cts,6,iterations,residual,=,1.159763,,,
,520,54712,cells,267085,cts,6,iterations,residual,=,1.146251,,,
,530,56191,cells,275126,contacts,0.674146,hour(s),or,40.448759,minute(s),or,2426.925537,second(s)
,530,56345,cells,267054,cts,14,iterations,residual,=,1.3753,,,
,530,56345,cells,273804,cts,9,iterations,residual,=,1.17547,,,
,530,56345,cells,274805,cts,7,iterations,residual,=,1.149537,,,
,530,56345,cells,275264,cts,6,iterations,residual,=,1.385423,,,
,530,56345,cells,275562,cts,6,iterations,residual,=,1.214883,,,
,530,56345,cells,275764,cts,6,iterations,residual,=,1.177423,,,
,530,56345,cells,275904,cts,6,iterations,residual,=,1.145029,,,
,,,,,,,,,,,,,
,540,57818,cells,283803,contacts,0.723046,hour(s),or,43.382731,minute(s),or,2602.963867,second(s)
,540,57984,cells,275391,cts,15,iterations,residual,=,1.220392,,,
,540,57984,cells,282382,cts,9,iterations,residual,=,1.128184,,,
,540,57984,cells,283377,cts,7,iterations,residual,=,1.185501,,,
,540,57984,cells,283859,cts,6,iterations,residual,=,1.369074,,,
,540,57984,cells,284157,cts,6,iterations,residual,=,1.204578,,,
,540,57984,cells,284359,cts,6,iterations,residual,=,1.179503,,,
,540,57984,cells,284498,cts,6,iterations,residual,=,1.137749,,,
,550,59463,cells,292419,contacts,0.769842,hour(s),or,46.190544,minute(s),or,2771.432617,second(s)
,550,59615,cells,283946,cts,15,iterations,residual,=,1.255256,,,
,550,59615,cells,291035,cts,9,iterations,residual,=,1.206611,,,
,550,59615,cells,292072,cts,7,iterations,residual,=,1.269917,,,
,550,59615,cells,292545,cts,6,iterations,residual,=,1.36302,,,
,550,59615,cells,292826,cts,6,iterations,residual,=,1.19796,,,
,550,59615,cells,293035,cts,6,iterations,residual,=,1.210557,,,
,550,59615,cells,293189,cts,6,iterations,residual,=,1.146966,,,
,560,61080,cells,300981,contacts,0.822979,hour(s),or,49.37876,minute(s),or,2962.725586,second(s)
,560,61247,cells,292437,cts,15,iterations,residual,=,1.417762,,,
,560,61247,cells,299581,cts,9,iterations,residual,=,1.289935,,,
,560,61247,cells,300656,cts,7,iterations,residual,=,1.337847,,,
,560,61247,cells,301162,cts,6,iterations,residual,=,1.41164,,,
,560,61247,cells,301446,cts,6,iterations,residual,=,1.24807,,,
,560,61247,cells,301633,cts,6,iterations,residual,=,1.23457,,,
,560,61247,cells,301768,cts,6,iterations,residual,=,1.203055,,,
,570,62715,cells,309493,contacts,0.866185,hour(s),or,51.971118,minute(s),or,3118.26709,second(s)
,570,62875,cells,300707,cts,15,iterations,residual,=,1.243942,,,
,570,62875,cells,308144,cts,9,iterations,residual,=,1.373841,,,
,570,62875,cells,309240,cts,7,iterations,residual,=,1.313859,,,
,570,62875,cells,309731,cts,6,iterations,residual,=,1.512209,,,
,570,62875,cells,310029,cts,6,iterations,residual,=,1.324715,,,
,570,62875,cells,310220,cts,6,iterations,residual,=,1.289188,,,
,570,62875,cells,310374,cts,6,iterations,residual,=,1.200692,,,
,580,64425,cells,318288,contacts,0.913951,hour(s),or,54.837032,minute(s),or,3290.221924,second(s)
,580,64605,cells,309197,cts,15,iterations,residual,=,1.291501,,,
,580,64605,cells,316746,cts,9,iterations,residual,=,1.365425,,,
,580,64605,cells,317812,cts,7,iterations,residual,=,1.402543,,,
,580,64605,cells,318316,cts,6,iterations,residual,=,1.542676,,,
,580,64605,cells,318659,cts,6,iterations,residual,=,1.35539,,,
,580,64605,cells,318870,cts,6,iterations,residual,=,1.279451,,,
,580,64605,cells,319009,cts,6,iterations,residual,=,1.345646,,,
,590,66082,cells,326874,contacts,0.961813,hour(s),or,57.708752,minute(s),or,3462.525146,second(s)
,590,66235,cells,317563,cts,15,iterations,residual,=,1.474456,,,
,590,66235,cells,325237,cts,9,iterations,residual,=,1.421704,,,
,590,66235,cells,326385,cts,7,iterations,residual,=,1.444216,,,
,590,66235,cells,326909,cts,6,iterations,residual,=,1.645939,,,
,590,66235,cells,327227,cts,6,iterations,residual,=,1.364877,,,
,590,66235,cells,327435,cts,6,iterations,residual,=,1.39722,,,
,590,66235,cells,327606,cts,6,iterations,residual,=,1.307682,,,
,600,67772,cells,335709,contacts,1.012821,hour(s),or,60.769234,minute(s),or,3646.154053,second(s)
,600,67952,cells,326272,cts,15,iterations,residual,=,1.392158,,,
,600,67952,cells,334142,cts,9,iterations,residual,=,1.330659,,,
,600,67952,cells,335283,cts,7,iterations,residual,=,1.415913,,,
,600,67952,cells,335841,cts,6,iterations,residual,=,1.524884,,,
,600,67952,cells,336186,cts,6,iterations,residual,=,1.426452,,,
,600,67952,cells,336407,cts,6,iterations,residual,=,1.364561,,,
,600,67952,cells,336547,cts,6,iterations,residual,=,1.280581,,,
,,,,,,,,,,,,,
,610,69495,cells,344806,contacts,1.070823,hour(s),or,64.249357,minute(s),or,3854.961426,second(s)
,610,69671,cells,335154,cts,15,iterations,residual,=,1.545805,,,
,610,69671,cells,343181,cts,9,iterations,residual,=,1.461713,,,
,610,69671,cells,344354,cts,7,iterations,residual,=,1.512789,,,
,610,69671,cells,344896,cts,6,iterations,residual,=,1.682683,,,
,610,69671,cells,345218,cts,6,iterations,residual,=,1.436078,,,
,610,69671,cells,345443,cts,6,iterations,residual,=,1.422303,,,
,610,69671,cells,345592,cts,6,iterations,residual,=,1.354452,,,
,620,71225,cells,353694,contacts,1.132154,hour(s),or,67.929244,minute(s),or,4075.754639,second(s)
,620,71407,cells,343802,cts,15,iterations,residual,=,1.472065,,,
,620,71407,cells,351938,cts,9,iterations,residual,=,1.457494,,,
,620,71407,cells,353134,cts,7,iterations,residual,=,1.540762,,,
,620,71407,cells,353691,cts,6,iterations,residual,=,1.668333,,,
,620,71407,cells,354003,cts,6,iterations,residual,=,1.563605,,,
,620,71407,cells,354250,cts,6,iterations,residual,=,1.538198,,,
,620,71407,cells,354432,cts,6,iterations,residual,=,1.519306,,,
,630,72925,cells,362539,contacts,1.194708,hour(s),or,71.682495,minute(s),or,4300.949707,second(s)
,630,73099,cells,352316,cts,15,iterations,residual,=,1.514245,,,
,630,73099,cells,360690,cts,9,iterations,residual,=,1.620604,,,
,630,73099,cells,361951,cts,7,iterations,residual,=,1.654443,,,
,630,73099,cells,362559,cts,6,iterations,residual,=,1.773568,,,
,630,73099,cells,362906,cts,6,iterations,residual,=,1.57618,,,
,630,73099,cells,363132,cts,6,iterations,residual,=,1.509665,,,
,630,73099,cells,363287,cts,6,iterations,residual,=,1.465477,,,
,,,,,,,,,,,,,
,640,74634,cells,371534,contacts,1.25147,hour(s),or,75.0882,minute(s),or,4505.291992,second(s)
,640,74799,cells,361150,cts,15,iterations,residual,=,1.588527,,,
,640,74799,cells,369702,cts,9,iterations,residual,=,1.609888,,,
,640,74799,cells,370988,cts,7,iterations,residual,=,1.663946,,,
,640,74799,cells,371567,cts,6,iterations,residual,=,1.803022,,,
,640,74799,cells,371924,cts,6,iterations,residual,=,1.559752,,,
,640,74799,cells,372149,cts,6,iterations,residual,=,1.51732,,,
,640,74799,cells,372319,cts,6,iterations,residual,=,1.505503,,,
,650,76283,cells,380418,contacts,1.31525,hour(s),or,78.915007,minute(s),or,4734.900391,second(s)
,650,76466,cells,369751,cts,15,iterations,residual,=,1.388855,,,
,650,76466,cells,378433,cts,9,iterations,residual,=,1.599146,,,
,650,76466,cells,379721,cts,7,iterations,residual,=,1.551314,,,
,650,76466,cells,380300,cts,6,iterations,residual,=,1.74792,,,
,650,76466,cells,380677,cts,6,iterations,residual,=,1.784728,,,
,650,76466,cells,380917,cts,6,iterations,residual,=,1.553879,,,
,650,76466,cells,381079,cts,6,iterations,residual,=,1.58073,,,
,660,77991,cells,389214,contacts,1.386945,hour(s),or,83.216675,minute(s),or,4993.000488,second(s)
,660,78155,cells,378367,cts,15,iterations,residual,=,1.559315,,,
,660,78155,cells,387264,cts,9,iterations,residual,=,1.660625,,,
,660,78155,cells,388600,cts,7,iterations,residual,=,1.668373,,,
,660,78155,cells,389205,cts,6,iterations,residual,=,1.94074,,,
,660,78155,cells,389563,cts,6,iterations,residual,=,1.806791,,,
,660,78155,cells,389807,cts,6,iterations,residual,=,1.686383,,,
,660,78155,cells,389991,cts,6,iterations,residual,=,1.651107,,,
,,,,,,,,,,,,,
,670,79755,cells,398162,contacts,1.465681,hour(s),or,87.940845,minute(s),or,5276.450684,second(s)
,670,79914,cells,387088,cts,15,iterations,residual,=,1.495507,,,
,670,79914,cells,396139,cts,9,iterations,residual,=,1.575693,,,
,670,79914,cells,397508,cts,7,iterations,residual,=,1.737412,,,
,670,79914,cells,398136,cts,6,iterations,residual,=,1.864186,,,
,670,79914,cells,398511,cts,6,iterations,residual,=,1.832736,,,
,670,79914,cells,398770,cts,6,iterations,residual,=,1.867564,,,
,670,79914,cells,398941,cts,6,iterations,residual,=,1.670202,,,
,680,81457,cells,407034,contacts,1.547767,hour(s),or,92.86604,minute(s),or,5571.962402,second(s)
,680,81643,cells,395710,cts,15,iterations,residual,=,1.628189,,,
,680,81643,cells,404922,cts,9,iterations,residual,=,1.739262,,,
,680,81643,cells,406348,cts,7,iterations,residual,=,1.70969,,,
,680,81643,cells,406968,cts,6,iterations,residual,=,2.001236,,,
,680,81643,cells,407356,cts,6,iterations,residual,=,1.703716,,,
,680,81643,cells,407622,cts,6,iterations,residual,=,1.751207,,,
,680,81643,cells,407804,cts,6,iterations,residual,=,1.697432,,,
,,,,,,,,,,,,,
,690,83150,cells,415979,contacts,1.620831,hour(s),or,97.249854,minute(s),or,5834.991211,second(s)
,690,83330,cells,404492,cts,15,iterations,residual,=,1.643164,,,
,690,83330,cells,413880,cts,9,iterations,residual,=,1.717808,,,
,690,83330,cells,415315,cts,7,iterations,residual,=,1.836137,,,
,690,83330,cells,415990,cts,6,iterations,residual,=,1.959062,,,
,690,83330,cells,416379,cts,6,iterations,residual,=,1.902092,,,
,690,83330,cells,416648,cts,6,iterations,residual,=,1.781724,,,
,690,83330,cells,416843,cts,6,iterations,residual,=,1.809491,,,
,700,84837,cells,424983,contacts,1.692334,hour(s),or,101.540031,minute(s),or,6092.401855,second(s)
,700,84985,cells,413240,cts,15,iterations,residual,=,1.74347,,,
,700,84985,cells,422763,cts,9,iterations,residual,=,1.763867,,,
,700,84985,cells,424185,cts,7,iterations,residual,=,1.780682,,,
,700,84985,cells,424857,cts,6,iterations,residual,=,2.060023,,,
,700,84985,cells,425258,cts,6,iterations,residual,=,1.922158,,,
,700,84985,cells,425545,cts,6,iterations,residual,=,1.809671,,,
,700,84985,cells,425714,cts,6,iterations,residual,=,1.817271,,,
,710,86491,cells,433875,contacts,1.770133,hour(s),or,106.207992,minute(s),or,6372.479492,second(s)
,710,86668,cells,421989,cts,15,iterations,residual,=,1.647897,,,
,710,86668,cells,431526,cts,9,iterations,residual,=,1.778779,,,
,710,86668,cells,432969,cts,7,iterations,residual,=,1.913381,,,
,710,86668,cells,433654,cts,6,iterations,residual,=,2.057715,,,
,710,86668,cells,434064,cts,6,iterations,residual,=,1.978149,,,
,710,86668,cells,434344,cts,6,iterations,residual,=,1.920211,,,
,710,86668,cells,434537,cts,6,iterations,residual,=,1.885969,,,
,720,88196,cells,442784,contacts,1.837654,hour(s),or,110.259261,minute(s),or,6615.555664,second(s)
,720,88355,cells,430812,cts,15,iterations,residual,=,1.933281,,,
,720,88355,cells,440565,cts,9,iterations,residual,=,1.830634,,,
,720,88355,cells,442018,cts,7,iterations,residual,=,1.868933,,,
,720,88355,cells,442669,cts,6,iterations,residual,=,2.148618,,,
,720,88355,cells,443064,cts,6,iterations,residual,=,2.015154,,,
,720,88355,cells,443319,cts,6,iterations,residual,=,2.006312,,,
,720,88355,cells,443507,cts,6,iterations,residual,=,1.867153,,,
,730,89829,cells,451360,contacts,1.908734,hour(s),or,114.524023,minute(s),or,6871.441406,second(s)
,730,90001,cells,439059,cts,15,iterations,residual,=,1.927052,,,
,730,90001,cells,448869,cts,9,iterations,residual,=,1.990837,,,
,730,90001,cells,450398,cts,7,iterations,residual,=,1.979103,,,
,730,90001,cells,451096,cts,7,iterations,residual,=,1.713927,,,
,730,90001,cells,451532,cts,6,iterations,residual,=,2.12423,,,
,730,90001,cells,451838,cts,6,iterations,residual,=,1.822162,,,
,730,90001,cells,452028,cts,6,iterations,residual,=,1.947384,,,
,740,91504,cells,460019,contacts,2.00334,hour(s),or,120.200423,minute(s),or,7212.025391,second(s)
,740,91654,cells,447671,cts,15,iterations,residual,=,1.76029,,,
,740,91654,cells,457624,cts,9,iterations,residual,=,1.889233,,,
,740,91654,cells,459138,cts,7,iterations,residual,=,2.054847,,,
,740,91654,cells,459838,cts,6,iterations,residual,=,2.218265,,,
,740,91654,cells,460264,cts,6,iterations,residual,=,2.131725,,,
,740,91654,cells,460527,cts,6,iterations,residual,=,2.033234,,,
,740,91654,cells,460718,cts,6,iterations,residual,=,1.921213,,,
,,,,,,,,,,,,,
,750,93143,cells,468628,contacts,2.094016,hour(s),or,125.640934,minute(s),or,7538.456055,second(s)
,750,93319,cells,456055,cts,15,iterations,residual,=,2.059016,,,
,750,93319,cells,466133,cts,9,iterations,residual,=,2.078524,,,
,750,93319,cells,467681,cts,7,iterations,residual,=,2.029913,,,
,750,93319,cells,468361,cts,6,iterations,residual,=,2.304066,,,
,750,93319,cells,468804,cts,6,iterations,residual,=,2.087953,,,
,750,93319,cells,469116,cts,6,iterations,residual,=,2.103616,,,
,750,93319,cells,469316,cts,6,iterations,residual,=,2.012621,,,
,760,94826,cells,477324,contacts,2.183072,hour(s),or,130.984351,minute(s),or,7859.061035,second(s)
,760,94988,cells,464572,cts,15,iterations,residual,=,2.086932,,,
,760,94988,cells,474954,cts,9,iterations,residual,=,2.03615,,,
,760,94988,cells,476494,cts,7,iterations,residual,=,2.071521,,,
,760,94988,cells,477193,cts,6,iterations,residual,=,2.356327,,,
,760,94988,cells,477638,cts,6,iterations,residual,=,2.275245,,,
,760,94988,cells,477947,cts,6,iterations,residual,=,2.118914,,,
,760,94988,cells,478154,cts,6,iterations,residual,=,2.019296,,,
,770,96448,cells,486105,contacts,2.295394,hour(s),or,137.723665,minute(s),or,8263.419922,second(s)
,770,96615,cells,473087,cts,15,iterations,residual,=,1.930113,,,
,770,96615,cells,483648,cts,9,iterations,residual,=,2.144189,,,
,770,96615,cells,485177,cts,7,iterations,residual,=,2.124202,,,
,770,96615,cells,485924,cts,7,iterations,residual,=,1.825219,,,
,770,96615,cells,486348,cts,6,iterations,residual,=,2.292938,,,
,770,96615,cells,486664,cts,6,iterations,residual,=,2.062185,,,
,770,96615,cells,486874,cts,6,iterations,residual,=,2.015388,,,
,780,98113,cells,494817,contacts,2.381549,hour(s),or,142.89292,minute(s),or,8573.575195,second(s)
,780,98282,cells,481818,cts,15,iterations,residual,=,2.407648,,,
,780,98282,cells,492406,cts,9,iterations,residual,=,2.174064,,,
,780,98282,cells,493947,cts,7,iterations,residual,=,2.126053,,,
,780,98282,cells,494656,cts,6,iterations,residual,=,2.420491,,,
,780,98282,cells,495117,cts,6,iterations,residual,=,2.215097,,,
,780,98282,cells,495420,cts,6,iterations,residual,=,2.146444,,,
,780,98282,cells,495644,cts,6,iterations,residual,=,2.1609,,,
,790,99808,cells,503716,contacts,2.463343,hour(s),or,147.80057,minute(s),or,8868.03418,second(s)
,790,99949,cells,490361,cts,15,iterations,residual,=,2.171472,,,
,790,99949,cells,501027,cts,9,iterations,residual,=,2.20173,,,
,790,99949,cells,502581,cts,7,iterations,residual,=,2.201467,,,
,790,99949,cells,503315,cts,7,iterations,residual,=,1.893509,,,
,790,99949,cells,503767,cts,6,iterations,residual,=,2.314264,,,
,790,99949,cells,504072,cts,6,iterations,residual,=,2.16829,,,
,790,99949,cells,504294,cts,6,iterations,residual,=,2.066795,,,
,,,,,,,,,,,,,
,800,101469,cells,512232,contacts,2.554617,hour(s),or,153.277002,minute(s),or,9196.620117,second(s)
,800,101634,cells,498693,cts,16,iterations,residual,=,1.844145,,,
,800,101634,cells,509616,cts,9,iterations,residual,=,2.078256,,,
,800,101634,cells,511203,cts,7,iterations,residual,=,2.262464,,,
,800,101634,cells,511945,cts,6,iterations,residual,=,2.462088,,,
,800,101634,cells,512418,cts,6,iterations,residual,=,2.450703,,,
,800,101634,cells,512712,cts,6,iterations,residual,=,2.215288,,,
,800,101634,cells,512930,cts,6,iterations,residual,=,2.2045,,,
,810,103153,cells,520980,contacts,2.660487,hour(s),or,159.629248,minute(s),or,9577.754883,second(s)
,810,103326,cells,507197,cts,15,iterations,residual,=,2.471681,,,
,810,103326,cells,518279,cts,9,iterations,residual,=,2.285158,,,
,810,103326,cells,519918,cts,7,iterations,residual,=,2.175787,,,
,810,103326,cells,520703,cts,6,iterations,residual,=,2.565569,,,
,810,103326,cells,521206,cts,6,iterations,residual,=,2.298776,,,
,810,103326,cells,521516,cts,6,iterations,residual,=,2.332027,,,
,810,103326,cells,521735,cts,6,iterations,residual,=,2.178919,,,
,,,,,,,,,,,,,
,820,104853,cells,529860,contacts,2.758789,hour(s),or,165.527311,minute(s),or,9931.638672,second(s)
,820,105023,cells,515963,cts,15,iterations,residual,=,2.498983,,,
,820,105023,cells,527103,cts,9,iterations,residual,=,2.364417,,,
,820,105023,cells,528784,cts,7,iterations,residual,=,2.199457,,,
,820,105023,cells,529551,cts,7,iterations,residual,=,1.952132,,,
,820,105023,cells,530029,cts,6,iterations,residual,=,2.529746,,,
,820,105023,cells,530350,cts,6,iterations,residual,=,2.394962,,,
,820,105023,cells,530573,cts,6,iterations,residual,=,2.49371,,,
,830,106577,cells,539041,contacts,2.871632,hour(s),or,172.297917,minute(s),or,10337.875,second(s)
,830,106762,cells,524870,cts,16,iterations,residual,=,1.9167,,,
,830,106762,cells,536202,cts,9,iterations,residual,=,2.109051,,,
,830,106762,cells,537876,cts,7,iterations,residual,=,2.24007,,,
,830,106762,cells,538661,cts,6,iterations,residual,=,2.574943,,,
,830,106762,cells,539133,cts,6,iterations,residual,=,2.381836,,,
,830,106762,cells,539447,cts,6,iterations,residual,=,2.480954,,,
,830,106762,cells,539665,cts,6,iterations,residual,=,2.387493,,,
,,,,,,,,,,,,,
,840,108313,cells,547997,contacts,2.993945,hour(s),or,179.636686,minute(s),or,10778.201172,second(s)
,840,108511,cells,533790,cts,15,iterations,residual,=,2.526247,,,
,840,108511,cells,545174,cts,9,iterations,residual,=,2.385352,,,
,840,108511,cells,546969,cts,7,iterations,residual,=,2.390821,,,
,840,108511,cells,547752,cts,7,iterations,residual,=,2.038531,,,
,840,108511,cells,548238,cts,6,iterations,residual,=,2.507716,,,
,840,108511,cells,548553,cts,6,iterations,residual,=,2.283762,,,
,840,108511,cells,548764,cts,6,iterations,residual,=,2.315113,,,
,850,110078,cells,556990,contacts,3.121414,hour(s),or,187.284863,minute(s),or,11237.091797,second(s)
,850,110246,cells,542412,cts,15,iterations,residual,=,2.467643,,,
,850,110246,cells,554081,cts,9,iterations,residual,=,2.368352,,,
,850,110246,cells,555840,cts,7,iterations,residual,=,2.401608,,,
,850,110246,cells,556648,cts,7,iterations,residual,=,2.163466,,,
,850,110246,cells,557134,cts,6,iterations,residual,=,2.637339,,,
,850,110246,cells,557468,cts,6,iterations,residual,=,2.563262,,,
,850,110246,cells,557667,cts,6,iterations,residual,=,2.44734,,,
,860,111784,cells,565802,contacts,3.244216,hour(s),or,194.652946,minute(s),or,11679.176758,second(s)
,860,111961,cells,551036,cts,15,iterations,residual,=,2.490982,,,
,860,111961,cells,562929,cts,9,iterations,residual,=,2.495754,,,
,860,111961,cells,564681,cts,7,iterations,residual,=,2.334684,,,
,860,111961,cells,565499,cts,6,iterations,residual,=,2.773454,,,
,860,111961,cells,566014,cts,6,iterations,residual,=,2.620932,,,
,860,111961,cells,566328,cts,6,iterations,residual,=,2.600141,,,
,860,111961,cells,566537,cts,6,iterations,residual,=,2.542953,,,
,870,113495,cells,574880,contacts,3.380751,hour(s),or,202.845085,minute(s),or,12170.705078,second(s)
,870,113663,cells,559874,cts,15,iterations,residual,=,2.537643,,,
,870,113663,cells,571951,cts,9,iterations,residual,=,2.499141,,,
,870,113663,cells,573759,cts,7,iterations,residual,=,2.503411,,,
,870,113663,cells,574598,cts,6,iterations,residual,=,2.812365,,,
,870,113663,cells,575091,cts,6,iterations,residual,=,2.700147,,,
,870,113663,cells,575420,cts,6,iterations,residual,=,2.606455,,,
,870,113663,cells,575632,cts,6,iterations,residual,=,2.479173,,,
,880,115237,cells,583928,contacts,3.509876,hour(s),or,210.592578,minute(s),or,12635.554688,second(s)
,880,115393,cells,568667,cts,16,iterations,residual,=,2.415053,,,
,880,115393,cells,580826,cts,9,iterations,residual,=,2.428795,,,
,880,115393,cells,582673,cts,7,iterations,residual,=,2.424335,,,
,880,115393,cells,583507,cts,6,iterations,residual,=,2.829529,,,
,880,115393,cells,584026,cts,6,iterations,residual,=,2.629574,,,
,880,115393,cells,584385,cts,6,iterations,residual,=,2.6679,,,
,880,115393,cells,584596,cts,6,iterations,residual,=,2.446733,,,
,,,,,,,,,,,,,
,890,116928,cells,592845,contacts,3.610378,hour(s),or,216.622656,minute(s),or,12997.359375,second(s)
,890,117094,cells,577472,cts,15,iterations,residual,=,2.817393,,,
,890,117094,cells,589874,cts,9,iterations,residual,=,2.503478,,,
,890,117094,cells,591724,cts,7,iterations,residual,=,2.475218,,,
,890,117094,cells,592542,cts,6,iterations,residual,=,2.879547,,,
,890,117094,cells,593051,cts,6,iterations,residual,=,2.732522,,,
,890,117094,cells,593404,cts,6,iterations,residual,=,2.692678,,,
,890,117094,cells,593620,cts,6,iterations,residual,=,2.607345,,,
,900,118652,cells,601828,contacts,3.722393,hour(s),or,223.343587,minute(s),or,13400.615234,second(s)
,900,118821,cells,586025,cts,15,iterations,residual,=,2.59688,,,
