iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Traceback,(most,recent,call,last):,,,,,,,,,
,File,/home/iborg/anaconda2/envs/cellmodeller/lib/python2.7/site-packages/CellModeller/GUI/PyGLCMViewer.py,line,118,in,toggleSavePickles,,,,,,,
,self.sim.setSaveOutput(save),,,,,,,,,,,,
AttributeError:,'NoneType',object,has,no,attribute,'setSaveOutput',,,,,,,
iborg@iborg-desktop:~$,cmgui,,,,,,,,,,,,
Set,up,OpenCL,context:,,,,,,,,,,
,Platform:,NVIDIA,CUDA,,,,,,,,,,
,Device:,GeForce,GTX,TITAN,X,,,,,,,,
Importing,model,StaphAureus,,,,,,,,,,,
,Cells,Contacts,,,,,,,,,,,
,0,1,cells,2,cts,1,iterations,residual,=,0,,,
,,Cells,,Contacts,,Hours,,,,,,,
,150,1047,cells,3298,cts,6,iterations,residual,=,0.022187,,,
,150,1047,cells,3335,cts,4,iterations,residual,=,0.023878,,,
,150,1047,cells,3350,cts,4,iterations,residual,=,0.016827,,,
,150,1047,cells,3356,cts,3,iterations,residual,=,0.020205,,,
,150,1047,cells,3361,cts,3,iterations,residual,=,0.016459,,,
,150,1047,cells,3368,cts,3,iterations,residual,=,0.016617,,,
,160,1287,cells,4314,contacts,0.011658,hour(s),or,0.6995,minute(s),or,41.969971,second(s)
,160,1323,cells,4041,cts,11,iterations,residual,=,0.030494,,,
,160,1323,cells,4297,cts,7,iterations,residual,=,0.022178,,,
,160,1323,cells,4329,cts,5,iterations,residual,=,0.020734,,,
,160,1323,cells,4339,cts,3,iterations,residual,=,0.029466,,,
,160,1323,cells,4347,cts,4,iterations,residual,=,0.01967,,,
,160,1323,cells,4352,cts,3,iterations,residual,=,0.021534,,,
,160,1323,cells,4357,cts,3,iterations,residual,=,0.021195,,,
,170,1623,cells,5436,contacts,0.012877,hour(s),or,0.772592,minute(s),or,46.355534,second(s)
,170,1664,cells,5145,cts,11,iterations,residual,=,0.035348,,,
,170,1664,cells,5495,cts,7,iterations,residual,=,0.034457,,,
,170,1664,cells,5542,cts,5,iterations,residual,=,0.033086,,,
,170,1664,cells,5562,cts,4,iterations,residual,=,0.041425,,,
,170,1664,cells,5574,cts,4,iterations,residual,=,0.029777,,,
,170,1664,cells,5580,cts,4,iterations,residual,=,0.028841,,,
,170,1664,cells,5584,cts,3,iterations,residual,=,0.030228,,,
,180,2032,cells,6900,contacts,0.014278,hour(s),or,0.856708,minute(s),or,51.402477,second(s)
,180,2082,cells,6492,cts,11,iterations,residual,=,0.046882,,,
,180,2082,cells,6909,cts,6,iterations,residual,=,0.051129,,,
,180,2082,cells,6970,cts,4,iterations,residual,=,0.046958,,,
,180,2082,cells,7004,cts,4,iterations,residual,=,0.039201,,,
,180,2082,cells,7021,cts,3,iterations,residual,=,0.045537,,,
