10,5,cells,9,contacts,0.006152,hour(s),or,0.36914,minute(s),or,22.148411,second(s),,0.6989700043
20,28,cells,72,contacts,0.006266,hour(s),or,0.375954,minute(s),or,22.557255,second(s),,1.4471580313
30,94,cells,305,contacts,0.006496,hour(s),or,0.389749,minute(s),or,23.384941,second(s),,1.9731278536
40,332,cells,1295,contacts,0.006995,hour(s),or,0.419671,minute(s),or,25.180233,second(s),,2.5211380837
50,942,cells,4152,contacts,0.007913,hour(s),or,0.474805,minute(s),or,28.488314,second(s),,2.9740509028
60,2265,cells,11036,contacts,0.0096,hour(s),or,0.576007,minute(s),or,34.560444,second(s),,3.3550682063
70,4654,cells,23980,contacts,0.012635,hour(s),or,0.758087,minute(s),or,45.485191,second(s),,3.667826379
80,8571,cells,45678,contacts,0.017691,hour(s),or,1.061487,minute(s),or,63.68924,second(s),,3.9330314951
90,14320,cells,78419,contacts,0.026588,hour(s),or,1.595277,minute(s),or,95.716637,second(s),,4.155943018
100,22506,cells,125915,contacts,0.040473,hour(s),or,2.428352,minute(s),or,145.701111,second(s),,4.3522983145
110,33515,cells,190720,contacts,0.060909,hour(s),or,3.654536,minute(s),or,219.272156,second(s),,4.5252392237
120,47960,cells,276855,contacts,0.091803,hour(s),or,5.508197,minute(s),or,330.491791,second(s),,4.6808791744
130,66390,cells,386973,contacts,0.134647,hour(s),or,8.078804,minute(s),or,484.728241,second(s),,4.8221026686
140,89327,cells,525007,contacts,0.18986,hour(s),or,11.39158,minute(s),or,683.494812,second(s),,4.9509827487
150,116803,cells,692275,contacts,0.279904,hour(s),or,16.794238,minute(s),or,1007.654297,second(s),,5.0674539975
160,149912,cells,894278,contacts,0.384023,hour(s),or,23.041374,minute(s),or,1382.482422,second(s),,5.1758363982
170,189149,cells,1134429,contacts,0.528757,hour(s),or,31.725441,minute(s),or,1903.526489,second(s),,5.2768040496
180,234774,cells,1415185,contacts,0.686939,hour(s),or,41.216366,minute(s),or,2472.981934,second(s),,5.3706499994
190,287714,cells,1741324,contacts,0.908235,hour(s),or,54.494076,minute(s),or,3269.644531,second(s),,5.4589609949
