500,173401,cells,1134294,contacts,4.427529,hour(s),or,265.651774,minute(s),or,15939.106445,second(s),,5.2390515977
510,177324,cells,1160356,contacts,4.667032,hour(s),or,280.021908,minute(s),or,16801.314453,second(s),,5.2487675194
520,181178,cells,1185946,contacts,4.918992,hour(s),or,295.139518,minute(s),or,17708.371094,second(s),,5.2581054612
530,185145,cells,1212132,contacts,5.213411,hour(s),or,312.804655,minute(s),or,18768.279297,second(s),,5.267511988
540,189071,cells,1238113,contacts,5.465936,hour(s),or,327.956152,minute(s),or,19677.369141,second(s),,5.2766249212
550,193061,cells,1264031,contacts,5.813096,hour(s),or,348.785742,minute(s),or,20927.144531,second(s),,5.2856945514
560,197000,cells,1290472,contacts,6.111013,hour(s),or,366.660807,minute(s),or,21999.648438,second(s),,5.2944662262
570,200995,cells,1316604,contacts,6.485742,hour(s),or,389.144531,minute(s),or,23348.671875,second(s),,5.3031852539
580,204912,cells,1342445,contacts,6.900811,hour(s),or,414.048633,minute(s),or,24842.917969,second(s),,5.3115673922
590,208845,cells,1368629,contacts,7.167676,hour(s),or,430.060579,minute(s),or,25803.634766,second(s),,5.3198240822
600,212845,cells,1395161,contacts,7.518639,hour(s),or,451.118327,minute(s),or,27067.099609,second(s),,5.3280634525
610,216843,cells,1421311,contacts,7.815805,hour(s),or,468.948307,minute(s),or,28136.898438,second(s),,5.3361454071
620,220785,cells,1447593,contacts,8.106716,hour(s),or,486.402962,minute(s),or,29184.177734,second(s),,5.3439695644
630,224734,cells,1473564,contacts,8.429074,hour(s),or,505.744401,minute(s),or,30344.664062,second(s),,5.3516687818
640,228625,cells,1499585,contacts,8.757757,hour(s),or,525.465365,minute(s),or,31527.921875,second(s),,5.3591237185
650,232622,cells,1526011,contacts,9.315077,hour(s),or,558.904622,minute(s),or,33534.277344,second(s),,5.3666507853
660,236588,cells,1552161,contacts,9.714114,hour(s),or,582.846875,minute(s),or,34970.8125,second(s),,5.373992713
670,240532,cells,1578094,contacts,10.188634,hour(s),or,611.318034,minute(s),or,36679.082031,second(s),,5.3811728624
680,244486,cells,1604501,contacts,10.522545,hour(s),or,631.352734,minute(s),or,37881.164062,second(s),,5.3882539952
690,248465,cells,1630570,contacts,11.064476,hour(s),or,663.868555,minute(s),or,39832.113281,second(s),,5.3952652205
700,252490,cells,1656942,contacts,11.541351,hour(s),or,692.481055,minute(s),or,41548.863281,second(s),,5.4022441823
710,256501,cells,1683448,contacts,11.950756,hour(s),or,717.045378,minute(s),or,43022.722656,second(s),,5.4090890626
720,260406,cells,1709371,contacts,12.444285,hour(s),or,746.657096,minute(s),or,44799.425781,second(s),,5.4156509866
730,264378,cells,1735611,contacts,13.066423,hour(s),or,783.985352,minute(s),or,47039.121094,second(s),,5.4222253129
740,268378,cells,1761882,contacts,13.525109,hour(s),or,811.50651,minute(s),or,48690.390625,second(s),,5.4287469121
750,272332,cells,1788223,contacts,14.093414,hour(s),or,845.604883,minute(s),or,50736.292969,second(s),,5.4350986755
760,276295,cells,1814334,contacts,14.570572,hour(s),or,874.23431,minute(s),or,52454.058594,second(s),,5.4413730257
770,280283,cells,1840796,contacts,15.064562,hour(s),or,903.873698,minute(s),or,54232.421875,second(s),,5.4475967573
780,284361,cells,1867568,contacts,15.717087,hour(s),or,943.025195,minute(s),or,56581.511719,second(s),,5.4538700328
